STCOUNTYFP,RISK_SCORE,EAL_SCORE,ERQK_RISKS,RFLD_RISKS,CFLD_RISKS,HRCN_RISKS,TRND_RISKS,WFIR_RISKS,WNTW_RISKS,HWAV_RISKS,DRGT_RISKS,HAIL_RISKS,SWND_RISKS,RFLD_EALS,ERQK_EALS,CFLD_EALS,HRCN_EALS,TRND_EALS,WFIR_EALS,WNTW_EALS,HWAV_EALS,DRGT_EALS,HAIL_EALS,SWND_EALS
30103,1.622653515749284,2.383163107397091,1.018135539293668,42.348075087496014,,,2.068087814190264,34.74387527839644,9.131403118040089,25.230671333121222,43.30257715558384,14.317531021317212,6.872414890232262,48.1584648715568,1.23800680903745,,,2.636476426799007,37.73464842507159,14.608480346641905,28.752708139894768,47.33250620347395,20.192307692307693,10.825062034739451
30105,35.284759783646194,39.49241720829465,5.949729557747375,80.90995863824371,,,13.522112631244037,34.584791600381806,69.869551384028,56.88832325803372,43.207126948775056,75.56474705695197,26.630607699650017,84.40111420612814,5.973382853605695,,,16.3151364764268,36.398345529748646,72.60909935004642,59.610027855153206,46.06079404466501,78.07071960297766,31.358560794044664
30107,4.454342984409799,4.704425874342308,15.14476614699332,55.711104040725424,,,5.377028316894687,51.57492841234489,23.639834552974865,22.23989818644607,36.71651288577792,38.97550111358575,6.45879732739421,55.98885793871865,14.67038068709378,,,7.320099255583126,50.36589245943367,26.307644692045805,24.481584648715568,37.934243176178654,40.91191066997519,8.839950372208436
30109,1.845370664969774,1.949860724233983,0.731784918867324,17.053770283168948,,,10.34043907095132,33.98027362392618,27.426026089723194,33.725739739102764,22.93986636971047,27.871460388164177,17.753738466433344,18.415351284432063,0.711853915196534,,,12.93424317617866,33.98027362392618,31.631073970906844,36.149798823893526,24.72084367245657,31.513647642679896,21.153846153846157
30111,59.11549475023863,61.83844011142061,59.62456251988546,70.66496977410117,,,31.625835189309576,89.05504295259307,67.7696468342348,93.98663697104675,55.29748647788737,92.20489977728286,25.45338848234171,72.60909935004642,59.76477870628288,,,35.57692307692308,90.96404708876867,70.90683998761993,94.45991952955741,57.19602977667494,92.61786600496275,30.241935483870968
31001,77.02831689468661,78.79913339523368,27.807826916958323,72.16035634743875,,,83.67801463569837,28.635062042634424,80.59179128221443,32.834871142220805,90.29589564110722,98.4727966910595,94.52752147629651,76.9421231816775,27.638502011761062,,,85.26674937965262,32.7076041998091,82.07985143918292,35.06654286598576,92.89702233250621,98.69727047146402,95.65756823821341
31003,22.68533248488705,28.319405756731665,16.70378619153675,43.04804327076042,,,48.52052179446389,49.665924276169264,89.88227807826915,34.96659242761693,84.95068405981546,55.23385300668152,20.521794463888003,46.76570721138967,17.672547199009596,,,54.962779156327535,51.41584473433026,91.21015165583411,38.68771278242031,87.68610421836229,60.483870967741936,25.31017369727047
31005,1.018135539293668,1.671309192200557,0.413617562838053,0.0,,,6.617881005408845,63.53802099904551,13.0130448615972,0.0,23.13076678332803,51.956729239580014,7.349665924276169,0.0,0.464252553389044,,,9.646401985111662,66.33789373210308,19.653358093469517,0.0,26.39578163771712,59.52233250620348,11.507444168734493
31007,1.972637607381483,3.12596719281956,1.399936366528794,0.0,,,7.636016544702513,27.48965956092905,15.940184537066497,0.0,42.18899140948138,32.00763601654471,2.736239261851734,0.0,1.949860724233983,,,11.538461538461538,32.548520521794465,23.862581244196843,0.0,47.05334987593052,40.88089330024815,5.893300248138958
31009,0.413617562838053,0.49520272361498,0.795418390073178,0.0,,,8.463251670378618,33.312122176264715,18.103722558065545,20.10817690104995,29.430480432707608,40.97995545657015,8.208717785555201,0.0,1.083255957907769,,,12.313895781637717,37.25739739102768,26.152893840916125,22.40792324357784,33.964019851116625,49.81389578163772,13.430521091811414
